# Kepler-10 (KIC 11904151) long-cadence light curve
# source_uri: mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# source_url: https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# retrieved_utc: 2026-07-19T12:44:04Z
# fits_sha256: a47542bd31fa92111f280a29885f6fbe860f0956012b442f780ca6d2cc3a19c6
# fits_bytes: 192960
# time: BKJD (BJD - 2454833); flux: PDCSAP_FLUX (e-/s), SAP_QUALITY==0 rows only
time_bkjd,flux_e_per_s
137.601701,544166.000
137.622135,544151.000
137.642569,544146.812
137.663003,544150.688
137.683438,544186.438
137.703872,544137.875
137.724306,544175.875
137.744740,544169.812
137.765174,544142.938
137.785609,544177.562
137.806043,544150.188
137.826477,544161.000
137.846911,544164.375
137.867345,544178.875
137.887779,544196.562
137.908213,544201.875
137.949082,544202.938
137.969516,544221.875
137.989950,544201.375
138.010384,544170.750
138.030818,544239.188
138.051253,544150.062
138.071687,544170.312
138.092121,544204.938
138.112555,544162.062
138.132989,544167.312
138.153424,544112.688
138.173858,544191.812
138.214726,544142.188
138.235160,544080.562
138.255594,544074.812
138.276029,544010.188
138.296463,544045.438
138.316897,544103.000
138.337331,544135.062
138.357765,544175.062
138.378199,544194.875
138.419068,544187.000
138.439502,544140.375
138.459936,544151.375
138.480370,544148.875
138.500804,544193.312
138.521239,544206.688
138.541673,544046.750
138.562107,544009.000
138.582541,543968.875
138.602975,543943.312
138.623409,543909.312
138.643844,543962.000
138.664278,543939.188
138.684712,543888.500
138.705146,543914.125
138.725580,543902.500
138.746014,543914.688
138.766448,543938.875
138.786883,543943.562
138.807317,544002.750
138.827751,544166.125
138.848185,544210.188
138.868619,544144.188
138.889054,544192.188
138.909488,544171.750
138.929922,544117.500
138.950356,544207.062
138.970790,544188.125
138.991224,544177.812
139.011659,544199.875
139.032093,544175.062
139.052527,544197.750
139.072961,544141.625
139.093395,544114.688
139.113829,544058.750
139.134263,544087.188
139.154698,544135.562
139.175132,544154.000
139.195566,544151.000
139.216000,544147.312
139.236434,544138.250
139.256868,544182.312
139.277303,544148.688
139.318171,544170.250
139.338605,544149.062
139.359039,544188.500
139.379473,544134.062
139.399908,544159.000
139.420342,544159.188
139.440776,544152.375
139.461210,544138.812
139.481644,544177.312
139.502078,544194.750
139.522513,544213.500
139.542947,544178.812
139.563381,544201.062
139.583815,544212.625
139.604249,544220.312
139.624683,544187.062
139.645118,544215.312
139.665552,544160.188
139.685986,544164.562
139.706420,544188.062
139.726854,544146.125
139.767723,544182.750
139.788157,544135.250
139.808591,544097.312
139.829025,544106.188
139.849459,544197.688
139.869893,544112.562
139.890327,544168.812
139.910762,544092.562
139.931196,544043.438
139.951630,544029.125
139.972064,543992.438
139.992498,544085.125
140.012932,544108.250
140.033367,544136.812
140.053801,544080.000
140.074235,544129.750
140.094669,544123.000
140.115103,544119.062
140.135537,544101.938
140.155972,544077.875
140.176406,544134.062
140.196840,544133.250
140.217274,544091.500
140.237708,544098.250
140.258142,544119.875
140.278576,544167.625
140.299011,544127.688
140.319445,544192.750
140.339879,544127.875
140.380747,544172.500
140.401182,544114.688
140.421616,544123.625
140.442050,544141.938
140.462484,544140.250
140.482918,544153.500
140.503352,544153.875
140.523786,544123.312
140.544221,544119.688
140.564655,544126.750
140.585089,544163.625
140.605523,544119.312
140.625957,544132.688
140.646391,544176.188
140.666825,544139.875
140.687260,544151.562
140.707694,544123.562
140.728128,544142.375
140.748562,544089.625
140.768996,544055.750
140.789430,544041.062
140.809865,544011.938
140.830299,544129.375
140.850733,544143.250
140.891601,544139.625
140.912035,544132.875
140.932470,544167.500
140.952904,544181.188
140.973338,544158.625
140.993772,544203.750
141.014206,544194.438
141.034640,544188.562
141.055074,544168.125
141.075509,544164.812
141.095943,544137.250
141.116377,544171.250
141.136811,544167.812
141.157245,544136.875
141.177679,544184.875
141.198114,544183.500
141.218548,544157.562
141.238982,544174.250
141.259416,544214.250
141.279850,544156.312
141.300284,544217.562
141.320718,544149.750
141.341153,544159.438
141.361587,544172.938
141.382021,544189.688
141.402455,544213.875
141.422889,544194.562
141.463758,544171.875
141.484192,544189.125
141.504626,544279.500
141.525060,544218.500
141.545494,544215.750
141.565928,544205.938
141.586363,544136.188
141.606797,544101.625
141.627231,544048.188
141.647665,544064.938
141.668099,544187.188
141.708967,544185.688
141.729402,544192.125
141.770270,544184.500
141.790704,544230.500
141.811138,544244.375
141.831572,544218.500
141.852006,544178.438
141.872441,544185.250
141.892875,544157.188
141.913309,544250.750
141.933743,544185.375
141.954177,544218.000
141.974611,544205.688
141.995046,544217.500
142.015480,544158.562
142.035914,544147.062
142.056348,544236.438
142.076782,544163.500
142.097216,544197.000
142.117650,544173.062
142.138085,544201.125
142.158519,544178.875
142.178953,544174.125
142.199387,544212.938
142.240255,544207.062
142.260689,544167.750
142.281124,544184.625
142.301558,544164.250
142.321992,544212.188
142.342426,544187.375
142.362860,544166.688
142.383294,544180.375
142.403729,544180.188
142.424163,544184.062
142.444597,544073.875
142.465031,544070.688
142.485465,544047.562
142.505899,544107.375
142.526333,544186.312
142.546768,544186.062
142.567202,544161.250
142.587636,544216.625
142.608070,544173.938
142.628504,544166.438
142.648938,544177.500
142.669372,544191.000
142.689807,544174.688
142.710241,544163.688
142.730675,544164.438
142.751109,544212.750
142.771543,544131.875
142.791977,544174.938
142.812411,544179.188
142.832846,544209.438
142.853280,544201.625
142.873714,544189.188
142.894148,544188.062
142.914582,544208.562
142.935016,544233.812
142.955450,544202.625
142.975885,544165.875
142.996319,544231.312
143.016753,544219.812
143.037187,544214.750
143.057621,544237.875
143.078055,544234.562
143.098490,544242.875
143.118924,544207.812
143.139358,544203.688
143.159792,544212.625
143.180226,544202.438
143.200660,544215.812
143.221094,544148.000
143.241529,544192.812
143.261963,544138.562
143.282397,544063.125
143.302831,544102.062
143.323265,544135.375
143.364133,544214.438
143.384568,544207.688
143.405002,544180.562
143.425436,544187.000
143.445870,544163.000
143.466304,544200.188
143.486738,544189.375
143.507172,544167.750
143.527607,544211.688
143.568475,544262.500
143.588909,544232.000
143.609343,544197.062
143.629777,544182.375
143.650211,544202.312
143.670646,544255.438
143.691080,544210.500
143.711514,544174.188
143.731948,544177.688
143.752382,544135.688
143.772816,544172.812
143.793250,544242.875
143.813685,544176.625
143.834119,544160.000
143.854553,544182.750
143.874987,544141.125
143.895421,544190.000
143.915855,544179.750
143.936289,544182.938
143.956724,544207.062
143.977158,544193.688
143.997592,544167.938
144.018026,544172.688
144.038460,544203.312
144.058894,544177.750
144.099763,544227.500
144.120197,544041.375
144.140631,544078.000
144.161065,544061.000
144.181499,544174.688
144.201933,544213.938
144.222367,544192.375
144.242802,544162.188
144.263236,544157.938
144.283670,544222.375
144.324538,544163.000
144.344972,544173.750
144.365406,544187.875
144.385840,544164.500
144.406275,544146.062
144.426709,544208.125
144.447143,544173.188
144.467577,544140.438
144.488011,544158.375
144.508445,544210.500
144.528879,544208.188
144.549314,544176.562
144.569748,544189.562
144.590182,544178.562
144.631050,544242.125
144.651484,544191.500
144.671918,544197.062
144.692353,544199.062
144.712787,544209.812
144.733221,544156.312
144.753655,544160.062
144.774089,544159.062
144.794523,544122.250
144.814957,544178.812
144.835392,544149.188
144.855826,544182.312
144.876260,544208.125
144.896694,544185.938
144.937562,544162.375
144.957996,544073.250
144.978431,544073.000
144.998865,544034.688
145.019299,544108.000
145.039733,544170.312
145.060167,544162.312
145.080601,544104.688
145.101035,544148.000
145.121470,544145.125
145.141904,544161.750
145.162338,544176.812
145.182772,544162.500
145.203206,544221.812
145.223640,544137.938
145.244074,544153.938
145.264508,544148.562
145.284943,544123.312
145.305377,544137.812
145.325811,544155.250
145.346245,544130.875
145.366679,544197.438
145.387113,544128.625
145.407547,544148.812
145.427981,544125.250
145.448416,544165.938
145.468850,544122.062
145.489284,544146.500
145.509718,544151.938
145.530152,544139.062
145.550586,544176.062
145.571020,544193.688
145.591454,544129.812
145.611889,544161.875
145.632323,544167.250
145.652757,544169.000
145.673191,544166.938
145.693625,544126.875
145.714059,544205.500
145.734493,544161.562
145.754928,544166.625
145.775362,544071.625
145.795796,544105.812
145.816230,544043.875
145.836664,544063.125
145.857098,544226.938
145.877532,544134.312
145.897966,544172.000
145.918401,544180.125
145.938835,544135.625
145.959269,544188.000
145.979703,544170.750
146.000137,544172.375
146.020571,544098.688
146.041005,544135.125
146.061440,544132.188
146.081874,544163.125
146.102308,544181.062
146.122742,544145.625
146.143176,544158.750
146.163610,544165.125
146.184044,544143.250
146.204478,544143.000
146.224913,544143.625
146.265781,544097.938
146.286215,544203.312
146.306649,544148.125
146.347517,544152.062
146.367951,544175.500
146.388386,544141.312
146.408820,544151.500
146.429254,544148.438
146.449688,544130.125
146.470122,544151.625
146.510990,544171.812
146.551859,544121.438
146.572293,544088.375
146.592727,544120.562
146.613161,544111.125
146.633595,544028.062
146.654029,544082.688
146.674463,544125.875
146.694897,544142.938
146.715332,544109.000
146.735766,544108.688
146.756200,544171.625
146.776634,544148.812
146.817502,544135.500
146.837936,544101.188
146.858371,544100.750
146.878805,544129.625
146.899239,544141.500
146.919673,544107.125
146.940107,544103.875
146.960541,544143.812
146.980975,544135.188
147.001409,544150.562
147.021844,544124.375
147.042278,544151.250
147.062712,544108.500
147.083146,544099.438
147.103580,544145.875
147.124014,544189.625
147.144448,544095.938
147.164882,544122.312
147.185317,544085.188
147.205751,544093.938
147.226185,544101.000
147.267053,544135.562
147.307921,544122.375
147.328355,544144.812
147.348789,544180.125
147.369224,544105.688
147.389658,544128.000
147.430526,544134.125
147.450960,544087.750
147.471394,544113.938
147.491828,544036.188
147.532697,544103.000
147.553131,544118.750
147.573565,544148.750
147.593999,544181.000
147.614433,544096.188
147.634867,544054.438
147.655301,544184.062
147.675736,544158.688
147.696170,544197.750
147.716604,544178.875
147.737038,544138.500
147.757472,544136.438
147.798340,544141.500
147.818774,544143.062
147.839209,544131.125
147.859643,544169.000
147.880077,544118.125
147.920945,544155.750
147.941379,544108.000
147.961813,544156.938
147.982247,544146.312
148.023116,544171.312
148.043550,544174.188
148.063984,544187.125
148.084418,544174.938
148.104852,544205.875
148.125286,544201.875
148.145720,544151.750
148.166154,544137.250
148.186589,544150.688
148.207023,544064.500
148.227457,544143.250
148.268325,544128.500
148.309193,544103.188
148.329627,544012.438
